,Nuclide,Pn,Pn err,lam,lam err
140,Cr62,0.0,0.0,3.465735902799726,0.20794415416798356
141,Cr63,0.0,0.0,5.373233957829033,0.08330595283455866
142,Cr64,0.0,0.0,16.15727693612926,0.37662650200767506
143,Cr65,0.0,0.0,24.755256448569472,2.6523489052038722
144,Cr66,0.0,0.0,30.136833937388925,5.2411885108502485
145,Mn61,0.0,0.0,0.9776405931734067,0.011031205564721092
146,Mn62,0.0,0.0,7.534208484347231,1.0646164162664566
147,Mn62_m1,0.0,0.0,1.0330062303426903,0.007697512893760733
148,Mn63,0.0,0.0,2.5114028281157434,0.05459571365469008
149,Mn64,0.027000000000000003,0.006,7.701635339554948,0.3422949039802199
150,Mn65,0.079,0.012,7.542406752556532,0.07386470160283873
151,Mn66,0.05,0.013999999999999999,10.847373717683025,0.18673100296480952
152,Mn67,0.0,0.0,14.747812352339261,1.255132966156533
153,Mn68,0.15,0.09,19.691681265907537,1.1188455264720192
154,Mn69,0.4,0.2,26.866169789145165,2.915708349209553
155,Mn70,0.5,0.2,34.83151661105253,2.975556695416547
156,Fe65,0.0,0.0,0.8610523982111121,0.010696303083367852
157,Fe65_m1,0.0,0.0,0.6188814112142368,0.082885903287621
158,Fe66,0.0,0.0,1.6157276936129261,0.10545542056214903
159,Fe67,0.0,0.0,1.754802988759355,0.039982852908440995
160,Fe68,0.0,0.0,3.6869530880848154,0.11766871557717495
161,Fe69,0.0,0.0,4.278686299752748,0.18488150677943976
162,Fe70,0.0,0.0,11.289042028663603,0.12870243355153943
163,Fe71,0.0,0.0,19.804205158855577,3.9608410317711154
164,Fe72,0.0,0.0,36.481430555786595,7.680301169639283
165,Fe73,0.0,0.0,53.73233957829033,6.664476226764692
166,Fe74,0.0,0.0,116.49532446385635,94.95837372263921
167,Co66,0.0,0.0,3.3164936868896904,0.30149942608088093
168,Co67,0.0,0.0,2.106830336048466,0.17930470945093327
169,Co67_m1,0.0,0.0,1.3974741543547284,0.09297711107602025
170,Co68,0.0,0.0,3.4831516611052526,0.525098240367626
171,Co68_m1,0.06,0.03,0.43321698784996576,0.08122818522186857
172,Co69,0.0,0.0,3.414518130837169,0.2859448680996644
173,Co69_m1,0.0,0.0,0.9241962407465937,0.3080654135821979
174,Co70,0.03,0.015,6.134045845663232,0.37998514088179314
175,Co70_m1,0.03,0.015,1.36446295385816,0.018801654875998264
176,Co71,0.188,0.08121576201698781,8.664339756999317,0.32491274088747435
177,Co72,0.074,0.03059411708155671,13.459168554562044,0.07840292361880803
178,Co72_m1,0.074,0.03059411708155671,14.50098704100304,0.1516839648640485
179,Co73,0.26,0.09848857801796104,17.030643257001113,0.5439763202481928
180,Co74,0.22999999999999998,0.1522366578718805,22.074750973246665,1.0545263203780255
181,Co75,0.08,0.08,26.15649737962058,1.184445164360177
182,Co76,0.0,0.0,30.806541358219793,7.804323810749014
183,Co76_m1,0.0,0.0,43.32169878499658,10.830424696249146
184,Co77,0.0,0.0,47.968663014529085,19.087876286058286
185,Ni72,0.0,0.0,0.43676570923752067,0.025594965947756412
186,Ni73,0.0,0.0,0.8232151788122866,0.02933070708357316
187,Ni74,0.0,0.0,1.3652692152057224,0.012369979101726065
188,Ni75,0.1,0.027999999999999997,2.0890511770944706,0.020147570122671207
189,Ni76,0.14,0.036000000000000004,2.9533326824028348,0.0339752801128575
190,Ni77,0.3,0.24,4.3690335994954,0.11428609793826605
191,Ni78,0.0,0.0,5.672235520130485,0.23672996033277802
192,Ni79,0.0,0.0,15.916123549022855,2.9420159487860844
193,Ni80,0.0,0.0,24.32095370385773,18.34738612747162
